Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Sales Manager,$147000 - $160000,Develop and maintain software systems,4.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",1971,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$55000 - $130000,Biology expert to teach students,4.1,bio,"Miami, FL","Miami, FL",200-500,1987,Private,Software,Services,$15M,"Chaithanya,narayana"
Marketing Manager,$140000 - $105000,Design user interfaces and improve user experiences,5.0,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2018,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$183000 - $246000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,2000,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
UX Designer,$83000 - $168000,Prepare and manage financial records and reports,4.2,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1970,Public,Marketing,Financial,$100M,"Accounting Solutions, TaxPro"
Data Scientist,$72000 - $246000,Develop and maintain software systems,4.8,Code Masters,"Austin, TX","Austin, TX","500-1,000",1984,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Marketing Manager,$184000 - $87000,Develop and maintain software systems,3.3,Code Masters,"Austin, TX","Austin, TX","500-1,000",2002,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$128000 - $152000,Oversee product development from ideation to launch,4.0,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2014,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Data Analyst,$82000 - $150000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1981,Public,Health,Financial,$100M,"Accounting Solutions, TaxPro"
Data Analyst,$142000 - $235000,Manage human resources and employee relations,4.2,People Solutions,"Miami, FL","Miami, FL",200-500,2000,Private,Retail,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$55000 - $245000,Design user interfaces and improve user experiences,4.8,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1991,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
UX Designer,$113000 - $102000,Lead and manage projects to successful completion,3.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",2017,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$191000 - $188000,Analyze and interpret complex data using ML techniques,3.9,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2013,Private,Retail,IT,$500M,"DataWorld, Insight Global"
Data Analyst,$179000 - $245000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2016,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$113000 - $100000,Lead and manage projects to successful completion,4.8,Project Leads,"Denver, CO","Denver, CO","500-1,000",1991,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$149000 - $226000,Develop and maintain software systems,3.9,Code Masters,"Austin, TX","Austin, TX","500-1,000",2014,Public,Education,Technology,$300M,"DevSoft, CodeTech"
Financial Analyst,$101000 - $223000,Lead marketing campaigns and strategies,3.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1982,Private,Education,Services,$100M,"AdFocus, BrandBoost"
Project Manager,$80000 - $191000,Lead marketing campaigns and strategies,4.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1976,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$153000 - $90000,Manage human resources and employee relations,4.4,People Solutions,"Miami, FL","Miami, FL",200-500,2011,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$194000 - $245000,Design user interfaces and improve user experiences,4.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1971,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$50000 - $120000,Lead and manage projects to successful completion,3.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",2018,Private,Marketing,Services,$300M,"TeamPro, ProjectSolutions"
Financial Analyst,$107000 - $109000,Lead and manage projects to successful completion,4.9,Project Leads,"Denver, CO","Denver, CO","500-1,000",2007,Private,Education,Services,$300M,"TeamPro, ProjectSolutions"
Financial Analyst,$75000 - $148000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",1976,Private,Health,Services,$300M,"TeamPro, ProjectSolutions"
Operations Manager,$184000 - $164000,Lead and manage projects to successful completion,3.2,Project Leads,"Denver, CO","Denver, CO","500-1,000",2004,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$87000 - $93000,Prepare and manage financial records and reports,4.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1971,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Data Analyst,$109000 - $241000,Design user interfaces and improve user experiences,4.6,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1999,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$64000 - $140000,Prepare and manage financial records and reports,4.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1979,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$113000 - $244000,Oversee product development from ideation to launch,4.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1998,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$56000 - $240000,Oversee product development from ideation to launch,3.7,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1990,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$175000 - $122000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1971,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$190000 - $173000,Analyze business processes and provide solutions,3.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2016,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$81000 - $183000,Analyze business processes and provide solutions,4.6,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1998,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
UX Designer,$100000 - $193000,Analyze business processes and provide solutions,3.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2006,Public,Software,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$90000 - $226000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,2012,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$165000 - $206000,Develop and maintain software systems,4.0,Code Masters,"Austin, TX","Austin, TX","500-1,000",2014,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Operations Manager,$139000 - $175000,Lead marketing campaigns and strategies,3.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2010,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$61000 - $199000,Lead marketing campaigns and strategies,4.5,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1970,Private,Retail,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$159000 - $247000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,1986,Private,Consulting,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$64000 - $92000,Analyze and interpret complex data using ML techniques,4.1,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1976,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$61000 - $132000,Analyze and interpret complex data using ML techniques,4.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2017,Private,Technology,IT,$500M,"DataWorld, Insight Global"
Project Manager,$188000 - $97000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,1973,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Data Analyst,$101000 - $240000,Develop and maintain software systems,4.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",2010,Public,Health,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$162000 - $205000,Conduct financial analysis to support decision making,3.8,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1972,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$153000 - $141000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1984,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Project Manager,$130000 - $116000,Lead marketing campaigns and strategies,4.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2009,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Marketing Manager,$79000 - $99000,Biology expert to teach students,3.2,bio,"Miami, FL","Miami, FL",200-500,1983,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$119000 - $123000,Design user interfaces and improve user experiences,4.9,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2002,Private,Marketing,Creative,$250M,"UserFlow, ExperienceHub"
Product Manager,$134000 - $84000,Lead and manage projects to successful completion,4.7,Project Leads,"Denver, CO","Denver, CO","500-1,000",1979,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Marketing Manager,$169000 - $228000,Analyze and interpret complex data using ML techniques,4.7,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1982,Private,Health,IT,$500M,"DataWorld, Insight Global"
Marketing Manager,$63000 - $101000,Design user interfaces and improve user experiences,3.6,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2022,Private,Finance,Creative,$250M,"UserFlow, ExperienceHub"
Sales Manager,$54000 - $183000,Analyze and interpret complex data using ML techniques,4.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2000,Private,Consulting,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$93000 - $158000,Analyze and interpret complex data using ML techniques,4.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2018,Private,Retail,IT,$500M,"DataWorld, Insight Global"
Data Analyst,$85000 - $124000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,1979,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Data Analyst,$186000 - $176000,Design user interfaces and improve user experiences,4.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1983,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Operations Manager,$93000 - $170000,Oversee product development from ideation to launch,4.7,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1970,Public,Software,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Project Manager,$157000 - $83000,Analyze and interpret complex data using ML techniques,5.0,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2005,Private,Software,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$157000 - $139000,Analyze business processes and provide solutions,3.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1977,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Project Manager,$181000 - $147000,Oversee product development from ideation to launch,4.2,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1975,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$54000 - $152000,Oversee product development from ideation to launch,4.7,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1992,Public,Finance,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$152000 - $139000,Design user interfaces and improve user experiences,4.7,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1972,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
Financial Analyst,$143000 - $154000,Manage human resources and employee relations,4.1,People Solutions,"Miami, FL","Miami, FL",200-500,1990,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Data Scientist,$110000 - $151000,Biology expert to teach students,4.9,bio,"Miami, FL","Miami, FL",200-500,2019,Private,Consulting,Services,$15M,"Chaithanya,narayana"
UX Designer,$152000 - $167000,Conduct financial analysis to support decision making,3.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2017,Public,Health,Financial,$500M,"MoneyWorks, CapitalInsights"
UX Designer,$77000 - $152000,Prepare and manage financial records and reports,4.4,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2004,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$186000 - $195000,Design user interfaces and improve user experiences,4.0,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2007,Private,Consulting,Creative,$250M,"UserFlow, ExperienceHub"
Project Manager,$76000 - $132000,Manage human resources and employee relations,5.0,People Solutions,"Miami, FL","Miami, FL",200-500,1976,Private,Software,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$193000 - $235000,Develop and maintain software systems,4.8,Code Masters,"Austin, TX","Austin, TX","500-1,000",1973,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Sales Manager,$105000 - $83000,Analyze business processes and provide solutions,4.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1993,Public,Health,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$177000 - $134000,Biology expert to teach students,4.9,bio,"Miami, FL","Miami, FL",200-500,1980,Private,Technology,Services,$15M,"Chaithanya,narayana"
Project Manager,$113000 - $196000,Analyze business processes and provide solutions,4.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2020,Public,Retail,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$65000 - $134000,Biology expert to teach students,3.3,bio,"Miami, FL","Miami, FL",200-500,1981,Private,Retail,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$147000 - $104000,Develop and maintain software systems,3.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1982,Public,Retail,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$113000 - $224000,Design user interfaces and improve user experiences,3.8,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2008,Private,Software,Creative,$250M,"UserFlow, ExperienceHub"
Software Engineer,$77000 - $140000,Analyze and interpret complex data using ML techniques,4.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2018,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Marketing Manager,$132000 - $229000,Analyze business processes and provide solutions,3.9,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1994,Public,Education,Professional Services,$400M,"ConsultMaster, BizExperts"
Project Manager,$151000 - $130000,Manage human resources and employee relations,3.7,People Solutions,"Miami, FL","Miami, FL",200-500,2022,Private,Marketing,Services,$150M,"Workplace Solutions, HR Hub"
Financial Analyst,$77000 - $177000,Oversee product development from ideation to launch,3.7,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1979,Public,Consulting,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Project Manager,$184000 - $121000,Oversee product development from ideation to launch,4.5,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2014,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$94000 - $200000,Conduct financial analysis to support decision making,4.8,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2004,Public,Marketing,Financial,$500M,"MoneyWorks, CapitalInsights"
Financial Analyst,$93000 - $180000,Manage human resources and employee relations,3.1,People Solutions,"Miami, FL","Miami, FL",200-500,1973,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Operations Manager,$97000 - $159000,Prepare and manage financial records and reports,4.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1996,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Financial Analyst,$56000 - $240000,Lead marketing campaigns and strategies,4.8,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1973,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$196000 - $116000,Manage human resources and employee relations,4.2,People Solutions,"Miami, FL","Miami, FL",200-500,1981,Private,Consulting,Services,$150M,"Workplace Solutions, HR Hub"
Marketing Manager,$120000 - $165000,Lead and manage projects to successful completion,4.5,Project Leads,"Denver, CO","Denver, CO","500-1,000",2007,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Software Engineer,$116000 - $122000,Analyze and interpret complex data using ML techniques,3.1,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1989,Private,Education,IT,$500M,"DataWorld, Insight Global"
Operations Manager,$177000 - $225000,Design user interfaces and improve user experiences,3.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1977,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$84000 - $100000,Oversee product development from ideation to launch,3.3,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2014,Public,Technology,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$132000 - $223000,Analyze and interpret complex data using ML techniques,4.1,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1994,Private,Health,IT,$500M,"DataWorld, Insight Global"
Data Analyst,$88000 - $227000,Conduct financial analysis to support decision making,3.6,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",1996,Public,Finance,Financial,$500M,"MoneyWorks, CapitalInsights"
Project Manager,$121000 - $182000,Analyze and interpret complex data using ML techniques,4.1,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1975,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$55000 - $137000,Analyze and interpret complex data using ML techniques,4.2,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2022,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Financial Analyst,$87000 - $148000,Analyze business processes and provide solutions,4.8,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1991,Public,Marketing,Professional Services,$400M,"ConsultMaster, BizExperts"
Marketing Manager,$185000 - $163000,Prepare and manage financial records and reports,4.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1987,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$122000 - $159000,Analyze and interpret complex data using ML techniques,3.6,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2021,Private,Retail,IT,$500M,"DataWorld, Insight Global"
Project Manager,$115000 - $144000,Lead and manage projects to successful completion,5.0,Project Leads,"Denver, CO","Denver, CO","500-1,000",2013,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Data Scientist,$90000 - $108000,Prepare and manage financial records and reports,3.5,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1996,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$121000 - $122000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1988,Private,Health,Services,$100M,"AdFocus, BrandBoost"
Sales Manager,$153000 - $156000,Manage human resources and employee relations,3.2,People Solutions,"Miami, FL","Miami, FL",200-500,1973,Private,Education,Services,$150M,"Workplace Solutions, HR Hub"
Product Manager,$146000 - $230000,Prepare and manage financial records and reports,3.1,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2006,Public,Software,Financial,$100M,"Accounting Solutions, TaxPro"
Software Engineer,$130000 - $156000,Analyze business processes and provide solutions,4.4,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1989,Public,Consulting,Professional Services,$400M,"ConsultMaster, BizExperts"
Product Manager,$57000 - $238000,Lead and manage projects to successful completion,3.4,Project Leads,"Denver, CO","Denver, CO","500-1,000",1984,Private,Retail,Services,$300M,"TeamPro, ProjectSolutions"
UX Designer,$99000 - $172000,Oversee product development from ideation to launch,4.1,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1979,Public,Education,Consumer Goods,$1B+,"InnovationHub, MarketPro"
UX Designer,$82000 - $184000,Lead marketing campaigns and strategies,4.8,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2022,Private,Software,Services,$100M,"AdFocus, BrandBoost"
Sales Manager,$179000 - $130000,Manage human resources and employee relations,4.9,People Solutions,"Miami, FL","Miami, FL",200-500,1976,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Software Engineer,$65000 - $132000,Lead marketing campaigns and strategies,4.2,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2013,Private,Technology,Services,$100M,"AdFocus, BrandBoost"
Data Scientist,$158000 - $153000,Develop and maintain software systems,3.9,Code Masters,"Austin, TX","Austin, TX","500-1,000",2002,Public,Finance,Technology,$300M,"DevSoft, CodeTech"
Data Analyst,$125000 - $231000,Develop and maintain software systems,3.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",2011,Public,Marketing,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$158000 - $144000,Design user interfaces and improve user experiences,3.2,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1981,Private,Retail,Creative,$250M,"UserFlow, ExperienceHub"
Data Scientist,$165000 - $177000,Biology expert to teach students,4.3,bio,"Miami, FL","Miami, FL",200-500,2014,Private,Marketing,Services,$15M,"Chaithanya,narayana"
Financial Analyst,$193000 - $177000,Analyze and interpret complex data using ML techniques,3.5,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",1982,Private,Finance,IT,$500M,"DataWorld, Insight Global"
Marketing Manager,$63000 - $188000,Lead marketing campaigns and strategies,4.6,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2006,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
Product Manager,$183000 - $231000,Analyze business processes and provide solutions,4.0,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",2022,Public,Technology,Professional Services,$400M,"ConsultMaster, BizExperts"
Sales Manager,$166000 - $109000,Develop and maintain software systems,3.1,Code Masters,"Austin, TX","Austin, TX","500-1,000",2011,Public,Software,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$156000 - $139000,Prepare and manage financial records and reports,3.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1978,Public,Finance,Financial,$100M,"Accounting Solutions, TaxPro"
UX Designer,$130000 - $223000,Develop and maintain software systems,4.0,Code Masters,"Austin, TX","Austin, TX","500-1,000",1979,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
UX Designer,$119000 - $147000,Oversee product development from ideation to launch,4.9,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1986,Public,Retail,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Operations Manager,$160000 - $120000,Design user interfaces and improve user experiences,3.7,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2020,Private,Technology,Creative,$250M,"UserFlow, ExperienceHub"
UX Designer,$157000 - $140000,Lead and manage projects to successful completion,4.1,Project Leads,"Denver, CO","Denver, CO","500-1,000",2008,Private,Consulting,Services,$300M,"TeamPro, ProjectSolutions"
Project Manager,$169000 - $208000,Analyze business processes and provide solutions,4.5,Business Gurus,"Dallas, TX","Dallas, TX","1,000-5,000",1976,Public,Finance,Professional Services,$400M,"ConsultMaster, BizExperts"
UX Designer,$199000 - $233000,Analyze and interpret complex data using ML techniques,3.3,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2021,Private,Retail,IT,$500M,"DataWorld, Insight Global"
Product Manager,$169000 - $153000,Lead marketing campaigns and strategies,4.9,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2001,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
Operations Manager,$132000 - $209000,Manage human resources and employee relations,4.7,People Solutions,"Miami, FL","Miami, FL",200-500,2001,Private,Technology,Services,$150M,"Workplace Solutions, HR Hub"
Financial Analyst,$53000 - $210000,Oversee product development from ideation to launch,3.6,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",1999,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Financial Analyst,$180000 - $249000,Oversee product development from ideation to launch,4.4,Global Tech,"Seattle, WA","San Jose, CA","5,000-10,000",2001,Public,Health,Consumer Goods,$1B+,"InnovationHub, MarketPro"
Marketing Manager,$157000 - $96000,Biology expert to teach students,3.1,bio,"Miami, FL","Miami, FL",200-500,1992,Private,Retail,Services,$15M,"Chaithanya,narayana"
Sales Manager,$94000 - $209000,Lead marketing campaigns and strategies,3.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,2017,Private,Finance,Services,$100M,"AdFocus, BrandBoost"
Software Engineer,$104000 - $143000,Lead marketing campaigns and strategies,4.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1993,Private,Marketing,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$78000 - $164000,Prepare and manage financial records and reports,3.8,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1986,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$148000 - $243000,Conduct financial analysis to support decision making,4.4,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2020,Public,Software,Financial,$500M,"MoneyWorks, CapitalInsights"
Project Manager,$116000 - $218000,Develop and maintain software systems,3.7,Code Masters,"Austin, TX","Austin, TX","500-1,000",2014,Public,Consulting,Technology,$300M,"DevSoft, CodeTech"
Software Engineer,$141000 - $91000,Design user interfaces and improve user experiences,3.3,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",2010,Private,Health,Creative,$250M,"UserFlow, ExperienceHub"
UX Designer,$93000 - $97000,Prepare and manage financial records and reports,3.7,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2018,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
Marketing Manager,$198000 - $154000,Prepare and manage financial records and reports,4.9,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2008,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
Project Manager,$103000 - $157000,Biology expert to teach students,3.7,bio,"Miami, FL","Miami, FL",200-500,1982,Private,Consulting,Services,$15M,"Chaithanya,narayana"
Data Scientist,$117000 - $231000,Lead marketing campaigns and strategies,3.7,Market Leaders,"Chicago, IL","Chicago, IL",200-500,1976,Private,Consulting,Services,$100M,"AdFocus, BrandBoost"
UX Designer,$189000 - $220000,Conduct financial analysis to support decision making,3.1,Finance Pros,"Boston, MA","Boston, MA","1,000-5,000",2012,Public,Retail,Financial,$500M,"MoneyWorks, CapitalInsights"
Operations Manager,$174000 - $216000,Analyze and interpret complex data using ML techniques,3.4,Tech Innovators,"New York, NY","San Francisco, CA","1,000-5,000",2019,Private,Marketing,IT,$500M,"DataWorld, Insight Global"
Marketing Manager,$150000 - $245000,Develop and maintain software systems,3.2,Code Masters,"Austin, TX","Austin, TX","500-1,000",2022,Public,Finance,Technology,$300M,"DevSoft, CodeTech"
Data Scientist,$106000 - $106000,Lead and manage projects to successful completion,3.9,Project Leads,"Denver, CO","Denver, CO","500-1,000",1998,Private,Finance,Services,$300M,"TeamPro, ProjectSolutions"
Product Manager,$66000 - $151000,Develop and maintain software systems,3.6,Code Masters,"Austin, TX","Austin, TX","500-1,000",1970,Public,Software,Technology,$300M,"DevSoft, CodeTech"
Project Manager,$125000 - $108000,Design user interfaces and improve user experiences,4.4,Creative Minds,"Los Angeles, CA","Los Angeles, CA","500-1,000",1997,Private,Marketing,Creative,$250M,"UserFlow, ExperienceHub"
Financial Analyst,$105000 - $147000,Prepare and manage financial records and reports,3.0,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,2017,Public,Retail,Financial,$100M,"Accounting Solutions, TaxPro"
UX Designer,$162000 - $174000,Develop and maintain software systems,3.8,Code Masters,"Austin, TX","Austin, TX","500-1,000",1985,Public,Health,Technology,$300M,"DevSoft, CodeTech"
Product Manager,$136000 - $108000,Prepare and manage financial records and reports,4.6,Finance Corp,"Atlanta, GA","Atlanta, GA",200-500,1970,Public,Education,Financial,$100M,"Accounting Solutions, TaxPro"
